Ticker
ABB
ACC
APLAPOLLO
AUBANK
ADANIENSOL
ADANIENT
ADANIGREEN
ADANIPORTS
ADANIPOWER
ATGL
ABCAPITAL
ABFRL
ALKEM
AMBUJACEM
APOLLOHOSP
APOLLOTYRE
ASHOKLEY
ASIANPAINT
ASTRAL
AUROPHARMA
DMART
AXISBANK
BSE
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BAJAJHLDNG
BALKRISIND
BANDHANBNK
BANKBARODA
BANKINDIA
MAHABANK
BERGEPAINT
BDL
BEL
BHARATFORG
BHEL
BPCL
BHARTIARTL
BIOCON
BOSCHLTD
BRITANNIA
CGPOWER
CANBK
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
CUMMINSIND
DLF
DABUR
DALBHARAT
DEEPAKNTR
DELHIVERY
DIVISLAB
DIXON
LALPATHLAB
DRREDDY
EICHERMOT
ESCORTS
NYKAA
FEDERALBNK
FACT
FORTIS
GAIL
GMRINFRA
GLAND
GODREJCP
GODREJPROP
GRASIM
GUJGASLTD
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HAVELLS
HEROMOTOCO
HINDALCO
HAL
HINDPETRO
HINDUNILVR
ICICIBANK
ICICIGI
ICICIPRULI
IDBI
IDFCFIRSTB
ITC
INDIANB
INDHOTEL
IOC
IRCTC
IRFC
IGL
INDUSTOWER
INDUSINDBK
NAUKRI
INFY
INDIGO
IPCALAB
JSWENERGY
JSWINFRA
JSWSTEEL
JINDALSTEL
JIOFIN
JUBLFOOD
KPITTECH
KALYANKJIL
KOTAKBANK
LTF
LTTS
LICHSGFIN
LTIM
LT
LAURUSLABS
LICI
LUPIN
MRF
LODHA
M&MFIN
M&M
MANKIND
MARICO
MARUTI
MFSL
MAXHEALTH
MAZDOCK
MPHASIS
NHPC
NMDC
NTPC
NESTLEIND
OBEROIRLTY
ONGC
OIL
PAYTM
OFSS
POLICYBZR
PIIND
PAGEIND
PATANJALI
PERSISTENT
PETRONET
PIDILITIND
PEL
POLYCAB
POONAWALLA
PFC
POWERGRID
PRESTIGE
PNB
RECLTD
RVNL
RELIANCE
SBICARD
SBILIFE
SJVN
SRF
MOTHERSON
SHREECEM
SHRIRAMFIN
SIEMENS
SONACOMS
SBIN
SAIL
SUNPHARMA
SUNTV
SUPREMEIND
SUZLON
SYNGENE
TVSMOTOR
TATACHEM
TATACOMM
TCS
TATACONSUM
TATAELXSI
TATAMTRDVR
TATAMOTORS
TATAPOWER
TATASTEEL
TATATECH
TECHM
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TIINDIA
UPL
ULTRACEMCO
UNIONBANK
UNITDSPR
VBL
VEDL
IDEA
VOLTAS
WIPRO
YESBANK
ZEEL
ZOMATO
ZYDUSLIFE
